ID,Name,CoverURL,MovieId
1,Keanu Reeves,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTkqugX0WLc78TSUXjzYAQvwT7nqU8vJknuJGldrNv0FO7kD8vl,6
2,Keanu Reeves,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTkqugX0WLc78TSUXjzYAQvwT7nqU8vJknuJGldrNv0FO7kD8vl,9
3,Carrie-Ann Moss,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTfB1MnNZFbA_0PbtJOZtLsaECmMiSgyHdmI9VkKQhEjLDoByvn,9
4,Carrie-Ann Moss,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTfB1MnNZFbA_0PbtJOZtLsaECmMiSgyHdmI9VkKQhEjLDoByvn,10
5,Anthony Ramos,https://image.tmdb.org/t/p/w235_and_h235_face/2Stnm8PQI7xHkVwINb4MhS7LOuR.jpg,1
6,"Liza Koshy
",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTc1XL12cy_ltR7POy8QK0aMfYDyjtycdkF7Zs6nCMjvLj5mUu1,1
7,"Pete Davidson
",https://t1.gstatic.com/licensed-image?q=tbn:ANd9GcS4NzfOJmKW-wyCej4x789ga0MtMf4Ghepla3Ya8coIB9uwnEP7IPc1X3c_z2_aSrJt,1
8,Shameik Moore,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvyMCWiXBhBnqFlVzBAgNfhCFNFGPFHeYuBAxbpe_9LA74E5Cz,2
9,"Oscar Isaac
",https://t0.gstatic.com/licensed-image?q=tbn:ANd9GcQR8Ga5xXCzGoksrJuJNH-amivrVwQDzaL6jVirVPLt7ImSO9IynoJdYvinKyJMaCJQ,2
10,"Hailee Steinfeld
",https://flxt.tmsimg.com/assets/510415_v9_be.jpg,2
11,"Ryan Gosling
",https://t3.gstatic.com/licensed-image?q=tbn:ANd9GcQuW7VQCvyYXQZEG2aCYyTLeNmNjDyyw9K-IjoqNG2GXITFvNSQiBdBVhFjPdlf71sO,3
12,"Margot Robbie
",https://flxt.tmsimg.com/assets/579067_v9_bb.jpg,3
13,Ezra Miller,https://upload.wikimedia.org/wikipedia/commons/e/ec/Ezra_Miller_by_Gage_Skidmore_2.jpg,4
14,Ben Affleck,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Ben_Affleck_by_Gage_Skidmore_3.jpg/220px-Ben_Affleck_by_Gage_Skidmore_3.jpg,4
15,Chris Pratt,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Chris_Pratt_2018.jpg/220px-Chris_Pratt_2018.jpg,5
16,"Zoe Saldana
",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Avatar_The_Way_of_Water_Tokyo_Press_Conference_Zoe_Salda%C3%B1a_%2852563431865%29_%28cropped2%29.jpg/220px-Avatar_The_Way_of_Water_Tokyo_Press_Conference_Zoe_Salda%C3%B1a_%2852563431865%29_%28cropped2%29.jpg,5
17,"Patrick Swayze
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Swayze2.jpg/220px-Swayze2.jpg,6
18,"Halle Bailey
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Halle_Nov_2018_%28cropped%29.png/191px-Halle_Nov_2018_%28cropped%29.png,7
19,"Jonah Hauer-King
",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Jonah_Hauer-King.png/220px-Jonah_Hauer-King.png,7
20,"Guy Pearce
",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Guy_Pearce_Cannes_2012.jpg/220px-Guy_Pearce_Cannes_2012.jpg,10
21,"Clint Eastwood
",https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/Clint_Eastwood_at_2010_New_York_Film_Festival.jpg/220px-Clint_Eastwood_at_2010_New_York_Film_Festival.jpg,8
22,"Frank Ronzio
",https://m.media-amazon.com/images/M/MV5BMTIyMzk2NTM2OF5BMl5BanBnXkFtZTcwNzUwNjcyMQ@@._V1_.jpg,8
